年月日,平均気温,最高気温,最低気温,降水量
2021/1/1,5.8,9.6,-0.1,0
2021/1/2,5.7,9.7,0.8,0
2021/1/3,5.1,7.6,1.6,0
2021/1/4,6.7,9.9,2.6,0
2021/1/5,7,9.6,3.8,0
2021/1/6,6.2,7.2,4.8,0
2021/1/7,7.2,12.2,3.3,0
2021/1/8,3.4,5.8,-0.6,0
2021/1/9,3.6,8.4,-1.9,0
2021/1/10,3.7,6.8,-1.3,0
2021/1/11,3.9,6.1,-0.4,0
2021/1/12,4.4,5.7,1.9,1
2021/1/13,6.3,10.8,0,0
2021/1/14,8.8,14.1,2.1,0
2021/1/15,7.7,9.5,5.8,0
2021/1/16,11.3,18.6,4.7,0
2021/1/17,6.7,8.2,5.3,0
2021/1/18,5.5,7.8,3.7,0
2021/1/19,5.3,9.3,1.7,0
2021/1/20,4.9,8,1.5,0
2021/1/21,5.9,9.6,1.4,0
2021/1/22,8.7,12.8,2.7,0
2021/1/23,7.4,11.4,4.1,19.5
2021/1/24,5.4,7.4,3.1,14
2021/1/25,8.9,12.7,5.5,1.5
2021/1/26,8.3,11.5,3.7,0
2021/1/27,10.3,13.5,7.3,1.5
2021/1/28,5.6,9.3,2.3,7
2021/1/29,6.4,11.1,2.1,0
2021/1/30,5.3,8.8,1.8,0
2021/1/31,6.5,11.7,1,0
2021/2/1,8.3,15,3.9,0
2021/2/2,10.6,16.3,6.2,9
2021/2/3,7.4,10.6,2.6,0
2021/2/4,8,13.4,2.3,0
2021/2/5,7.7,11.4,3.2,0
2021/2/6,9,12.1,4.9,0
2021/2/7,10.4,16.6,5.2,0
2021/2/8,6.8,9.6,3.3,0
2021/2/9,5.2,9.8,1.9,0
2021/2/10,7.4,11.8,2.3,0
2021/2/11,9.3,13.9,3.5,0
2021/2/12,8.8,11.1,5.4,0
2021/2/13,10.8,15.9,7,0
2021/2/14,12.6,17.6,9.2,0
2021/2/15,12.4,14.5,10.4,61
2021/2/16,11.8,16.5,7.8,0
2021/2/17,8.6,14.4,3,0
2021/2/18,4.4,8.6,0.3,0
2021/2/19,7.3,11.8,1.2,0
2021/2/20,11.4,17.4,2.3,0
2021/2/21,14.6,20.2,8.5,0
2021/2/22,14.8,21.7,8.8,0
2021/2/23,11.7,16.2,5.9,0
2021/2/24,6.9,11,4.1,0
2021/2/25,6.8,11.3,2.8,0
2021/2/26,9.3,11.3,6.6,0
2021/2/27,6.3,8.6,4.2,0
2021/2/28,7.2,12.5,0.9,0
2021/3/1,12.3,18,7.3,0.5
2021/3/2,14.3,21.1,8.6,15.5
2021/3/3,7.7,10.4,4.7,0
2021/3/4,9.3,12.7,5.5,0
2021/3/5,12.3,15.1,9.6,2
2021/3/6,13,18.3,10.8,0.5
2021/3/7,8,10.8,6.6,0
2021/3/8,7.3,8.3,5.9,6.5
2021/3/9,9.7,12.9,6.5,0.5
2021/3/10,12.6,18.9,8.5,0
2021/3/11,10.3,15.2,5.7,0
2021/3/12,12.4,15.7,9.1,0
2021/3/13,11.9,14,10.1,59
2021/3/14,13.4,18.5,8.8,0
2021/3/15,13.3,19,8.7,0
2021/3/16,15.8,21.4,9.1,0
2021/3/17,13.9,18.3,9.3,0
2021/3/18,12.1,17.3,8.1,0
2021/3/19,12.9,15.8,10.9,0
2021/3/20,14.3,17.3,11.4,0
2021/3/21,17.6,19.7,14.6,24
2021/3/22,12.9,16.4,8.3,1
2021/3/23,11.2,14.8,5.1,0
2021/3/24,14.3,19.6,8.2,0
2021/3/25,14.9,18.5,12.4,1
2021/3/26,14.2,19.6,10.5,0
2021/3/27,13.9,18,10.3,0
2021/3/28,16.9,19.1,15,9
2021/3/29,17.2,22.4,13.7,50.5
2021/3/30,17.3,20.9,14.9,0
2021/3/31,17.2,19.9,15.2,0
2021/4/1,16.3,19.2,14.4,0
2021/4/2,16.2,19.4,14.2,0
2021/4/3,16.8,19.6,13,0
2021/4/4,18.5,22.9,16.4,18
2021/4/5,14.2,18.9,10.2,11
2021/4/6,11.2,13.9,8.6,0
2021/4/7,13.5,17.2,8.9,0
2021/4/8,14,17.9,11.1,0
2021/4/9,12.1,16.5,9,0
2021/4/10,10.5,13.8,7.8,0
2021/4/11,13,16.6,9.2,0
2021/4/12,14.6,18.9,10.9,0
2021/4/13,16,20.4,12.6,1
2021/4/14,16,20.7,8.7,26.5
2021/4/15,11.1,14.5,7.5,0
2021/4/16,14.2,17.6,11,0
2021/4/17,16,18.9,14.7,27
2021/4/18,17.1,22.2,12.3,11.5
2021/4/19,15.9,20.3,10.8,0
2021/4/20,17.3,22.4,12.3,0
2021/4/21,18.4,23.2,14.2,0
2021/4/22,18.2,27,12.1,0
2021/4/23,13.6,17.4,9.9,0
2021/4/24,15.5,20.2,10.4,0
2021/4/25,17.4,22.2,13.1,0
2021/4/26,13.2,18.2,9.9,0
2021/4/27,15.2,20,11.1,0
2021/4/28,18.7,23,13,0
2021/4/29,17.6,19.5,16.4,32.5
2021/4/30,19.1,23.5,15,0
2021/5/1,18.1,22.7,15.4,11
2021/5/2,17.9,22.5,13,1.5
2021/5/3,16.8,21.3,12,0
2021/5/4,18.7,24,13.2,0
2021/5/5,19.5,21.5,17.9,0.5
2021/5/6,18.2,21.3,15.9,4
2021/5/7,17.4,19.2,14.9,2
2021/5/8,19.5,23,13.6,0
2021/5/9,22.9,28.3,18.5,0
2021/5/10,20.4,24.2,16.7,0
2021/5/11,17.8,19.4,17.1,0
2021/5/12,17.9,20.1,16,0
2021/5/13,16.8,18.1,15.2,7.5
2021/5/14,20.5,25.9,17.2,0
2021/5/15,21.1,26.6,18.5,0
2021/5/16,20.3,22.9,18.9,0.5
2021/5/17,22.7,24.5,20.2,0
2021/5/18,20.7,24.3,17.1,0.5
2021/5/19,17.6,19,16.3,10
2021/5/20,19.6,21.6,17.9,4.5
2021/5/21,22.6,25.2,18.8,3.5
2021/5/22,20.3,22.8,18.6,1
2021/5/23,19.8,24.3,16,3.5
2021/5/24,21.4,26.8,18,0
2021/5/25,22.1,28.1,18,0
2021/5/26,20.9,23.7,18.7,0
2021/5/27,17.6,20.3,15.8,31.5
2021/5/28,20.7,24.6,16.3,0
2021/5/29,22.9,26.9,20.5,0
2021/5/30,21.4,24.4,19.4,0
2021/5/31,20.8,25,17.1,10
2021/6/1,20.1,24.2,17,2
2021/6/2,22.3,26,18.7,0
2021/6/3,22.1,25.9,19.1,0.5
2021/6/4,21.8,24.4,19.6,9.5
2021/6/5,22,24.7,20.4,0
2021/6/6,21.9,23.4,20.5,1
2021/6/7,23.3,28,20.5,0
2021/6/8,23.9,29.5,19.3,0
2021/6/9,24.5,28.6,20,0
2021/6/10,23.8,28.8,20.5,0
2021/6/11,23.3,27.4,20.1,0
2021/6/12,23.5,27.3,19.5,0
2021/6/13,24.5,27.7,22.5,0
2021/6/14,21.5,23.2,19.6,5.5
2021/6/15,23.9,28.6,20,0
2021/6/16,22.8,25,21.6,2
2021/6/17,22.3,24.9,19.9,9
2021/6/18,22.7,26.3,19.1,0
2021/6/19,21.3,23.9,20.1,8.5
2021/6/20,23.1,26.9,19.8,11.5
2021/6/21,22.7,26.3,19.8,0
2021/6/22,22.9,26.7,19.8,0
2021/6/23,22.8,24.8,21,0
2021/6/24,22.8,26.6,20.3,0
2021/6/25,23.5,27.1,21.5,0
2021/6/26,24.2,27.1,21.7,0
2021/6/27,23.6,25.8,22.3,0
2021/6/28,24.3,27.2,21.7,0.5
2021/6/29,22.8,28.2,20,24
2021/6/30,21.6,23.9,19.8,1
2021/7/1,21.7,23.5,20.8,59.5
2021/7/2,21.8,24.8,20.8,75
2021/7/3,22.2,24.7,21.1,72
2021/7/4,20.4,21.1,19.9,11.5
2021/7/5,22.1,24.8,20.1,2
2021/7/6,24.8,27.6,22.1,0
2021/7/7,25.1,27.9,22.9,1
2021/7/8,23.5,24.1,22.6,4.5
2021/7/9,24,25.7,22.5,3.5
2021/7/10,26.8,32.4,23.6,0
2021/7/11,25.1,30.7,22.8,1
2021/7/12,26.2,30.9,22.3,0.5
2021/7/13,25.1,27.8,23.7,0.5
2021/7/14,25.4,29.1,23.1,0
2021/7/15,26.3,29.3,23.3,0
2021/7/16,27.6,32.5,24.9,0
2021/7/17,27.5,32.7,23.6,0
2021/7/18,28.1,32.7,25.1,0
2021/7/19,28.8,33.8,26,0
2021/7/20,28.8,33.6,25.7,0
2021/7/21,28.8,34,24.9,0
2021/7/22,28.6,33.6,25.1,0
2021/7/23,28.9,34,25.3,0
2021/7/24,28.6,33.2,25.7,0
2021/7/25,28.6,33.2,25.5,0
2021/7/26,27.5,30.5,25.1,0
2021/7/27,25.9,30.6,21.8,20.5
2021/7/28,27.9,31.2,24.5,0.5
2021/7/29,28.3,32,25.6,0
2021/7/30,27.5,31.3,25,0
2021/7/31,27.6,31.2,25,0
2021/8/1,29,33.6,25,0
2021/8/2,28.4,32.1,26,2.5
2021/8/3,29.6,34.3,25.8,0
2021/8/4,29.7,34.6,26.2,0
2021/8/5,28.8,34.3,24.4,0
2021/8/6,29.5,34.1,25.8,0
2021/8/7,28.2,31.7,26,11.5
2021/8/8,27.1,30,25.5,73
2021/8/9,29.2,31.8,26.7,6.5
2021/8/10,30.9,35.9,27.7,0
2021/8/11,28.7,33.3,26.2,0
2021/8/12,26.3,28.4,24.8,0
2021/8/13,23.5,27,21.9,10
2021/8/14,24.3,28.1,21.5,29.5
2021/8/15,20.3,21.8,19.2,60
2021/8/16,21.7,23,19.8,1
2021/8/17,23.9,26.4,21.9,4
2021/8/18,27.6,31.7,25.1,14
2021/8/19,28.2,31.7,25.4,0
2021/8/20,28.6,31.8,26.4,0
2021/8/21,28.1,31.4,26.2,0
2021/8/22,28.8,32.9,26.6,0
2021/8/23,26.8,28.5,24.3,0
2021/8/24,27.6,30.8,24.8,0
2021/8/25,29.5,33.1,27.1,0
2021/8/26,29.8,34.7,26.1,0
2021/8/27,29.4,32.1,27.3,0
2021/8/28,29.5,34.5,26.6,0
2021/8/29,28.6,31,26.9,0
2021/8/30,29,32.2,25.9,0
2021/8/31,27.3,31,23.6,1.5
2021/9/1,21.9,24.4,19,0.5
2021/9/2,20.3,21.3,19.3,25
2021/9/3,20.5,22,19.4,9.5
2021/9/4,21.6,23.5,19.9,12.5
2021/9/5,21.7,25.1,19.2,3.5
2021/9/6,20.7,21.6,19.8,2
2021/9/7,21.1,23.6,18.5,0
2021/9/8,21.3,23.7,18.2,2.5
2021/9/9,21.1,22.8,19.3,12
2021/9/10,24.5,28.4,21.5,0
2021/9/11,24.8,29.4,22.6,0
2021/9/12,24.5,26.1,23.3,0.5
2021/9/13,25.1,28.5,22.6,0
2021/9/14,22.8,25.1,19.6,14.5
2021/9/15,23.1,26.8,20.1,2
2021/9/16,22.8,25.7,20.9,0
2021/9/17,22.5,24.6,19.8,0
2021/9/18,24.5,26.6,22.7,85.5
2021/9/19,23.9,26.9,20.8,0
2021/9/20,22.8,26.1,19.3,0
2021/9/21,23.2,26.5,20.5,0
2021/9/22,25.3,28.8,21.3,0
2021/9/23,27.5,30.9,23.4,0
2021/9/24,25.3,28.6,22.3,0
2021/9/25,22.5,24.5,21,0
2021/9/26,20.7,22.2,19,0
2021/9/27,21,23.5,18.5,0
2021/9/28,21.8,25,19.3,0
2021/9/29,22.1,25,19.7,0
2021/9/30,23.3,27.2,20.5,2.5
2021/10/1,20,21.6,17.9,111.5
2021/10/2,22.5,27.9,16.7,20
2021/10/3,22.4,25.5,20.1,0
2021/10/4,24,28.3,20.3,0
2021/10/5,24.5,28,20.9,0
2021/10/6,23,26.4,20.9,0
2021/10/7,21.6,23.7,18.8,0
2021/10/8,24.1,28.5,21.1,0
2021/10/9,22.9,25.6,20.7,0
